sector,price,price_per_sqft,built_up_area,latitude,longitude
gwal pahari,3.192222222222222,9585.888888888889,3004.777777777778,28.4484,77.021
manesar,0.9615151515151515,4717.606060606061,1998.7090909090907,28.3515,76.9428
sector 1,1.86,8249.5,2319.6666666666665,28.3663,76.9456
sector 102,1.6813274336283186,10640.946902654867,1528.141592920354,28.475,76.9715
sector 103,1.524761904761905,7404.476190476191,1892.0238095238096,28.4949,76.9845
sector 104,1.7190625,8942.5625,1906.84375,28.4788,76.996
sector 105,0.8518749999999999,8143.625,1219.969375,28.4952,77.0114
sector 106,1.548421052631579,8590.631578947368,1504.6315789473683,28.5007,77.0003
sector 107,0.89,6800.333333333333,1220.0416666666667,28.5052,76.9729
sector 108,1.9967241379310345,10029.913793103447,1898.4807453793103,28.5134,76.983
sector 109,3.939431818181818,12523.59090909091,2905.1022727272725,28.5073,77.0089
sector 10a,1.9437499999999999,11268.75,1818.125,28.4469,77.0106
sector 11,1.650625,9865.5,1507.6875,28.4531,77.0202
sector 110,2.893809523809524,9063.52380952381,2461.5714285714284,28.514500000000005,77.0197
sector 111,3.147,11675.15,2524.95,28.5238,77.032
sector 112,4.56,12331.583333333334,3321.9304166666666,28.5189,77.0183
sector 113,2.465813953488372,12515.720930232557,2064.953488372093,28.528700000000004,77.0233
sector 12,1.6561764705882354,9833.058823529413,1820.2941176470588,28.4723,77.032
sector 13,2.6385714285714283,8874.0,2527.0,28.4757,77.03920000000001
sector 14,4.226818181818182,16100.59090909091,2678.681818181818,28.4711,77.0454
sector 15,2.716666666666667,11916.166666666666,1869.6666666666667,28.462100000000003,77.0464
sector 17,3.2985714285714285,16094.857142857143,1843.2857142857142,28.4791,77.0608
sector 17a,1.52,19869.0,105.0,28.4785,77.06
sector 17b,7.55,16728.0,4170.666666666667,28.4806,77.0663
sector 2,2.473934426229508,11427.032786885246,1821.9016393442623,28.5095,77.03200000000001
sector 21,1.0250000000000001,7641.333333333333,1248.1666666666667,28.5134,77.0723
sector 22,3.429,16244.75,2068.45,28.5072,77.064
sector 23,3.3430769230769233,13455.923076923076,2381.6923076923076,28.5121,77.0478
sector 24,4.665789473684211,16859.684210526317,2550.8947368421054,28.4939,77.1038
sector 25,8.427428571428571,30425.17142857143,3335.1285714285714,28.4844,77.086
sector 26,10.98611111111111,30686.666666666668,3979.472222222222,28.4757,77.1032
sector 27,6.125,28889.5,2196.0,28.4658,77.0917
sector 28,3.807179487179487,17117.02564102564,1991.3333333333333,28.4728,77.0865
sector 3,0.9973913043478262,8142.695652173913,1211.695652173913,28.4909,77.0176
sector 30,1.568,11255.0,1336.6,28.4604,77.0579
sector 31,3.534,22197.2,1566.9,28.452800000000003,77.0498
sector 33,2.691449275362319,12022.652173913044,1863.3104347826086,28.442,77.0207
sector 36,0.717,7777.6,945.3,28.416000000000004,76.9914
sector 37,0.67,5583.0,1053.0,28.4375,76.9999
sector 37c,0.969811320754717,6014.830188679245,1480.322641509434,28.4515,76.9882
sector 37d,1.2495588235294117,8044.279411764706,1527.1764705882354,28.4478,76.9703
sector 38,3.2299999999999995,22186.9,1754.7,28.4347,77.043
sector 39,3.45,14324.5,2413.1,28.443400000000004,77.0515
sector 4,1.281794871794872,9067.897435897436,1128.8461538461538,28.4738,77.0107
sector 40,3.15,19005.2,1366.8,28.4498,77.0567
sector 41,5.82,23525.9,2519.0,28.4557,77.0632
sector 43,5.179821428571429,20629.160714285714,2264.535714285714,28.4629,77.07720000000002
sector 45,8.49875,25525.5,2905.875,28.4466,77.066
sector 46,3.7954545454545454,17953.363636363636,1516.909090909091,28.4374,77.0586
sector 47,2.838235294117647,14366.411764705883,1912.6470588235295,28.4276,77.0492
sector 48,6.048035714285715,18168.571428571428,3175.875,28.4177,77.0359
sector 49,3.122727272727273,13683.795454545454,2167.98,28.4121,77.048
sector 5,2.1283333333333334,10772.0,1754.0,28.4794,77.0176
sector 50,6.378245614035087,21337.122807017542,3134.8245614035086,28.4178,77.0628
sector 51,1.7683333333333333,6984.333333333333,1887.6666666666667,28.432,77.0686
sector 52,3.105,11096.583333333334,2747.4166666666665,28.4379,77.0785
sector 53,5.782857142857142,20506.571428571428,2667.9285714285716,28.4433,77.0948
sector 54,5.32,18446.64,2370.12,28.4348,77.1089
sector 55,2.7979999999999996,17291.5,1682.7,28.4281,77.11
sector 56,1.9813461538461539,10897.576923076924,1797.2307692307693,28.4245,77.0991
sector 57,4.6013636363636365,19511.863636363636,2320.818181818182,28.423200000000005,77.0752
sector 58,3.2971428571428567,17147.85714285714,1969.0,28.419999999999998,77.1105
sector 59,4.875,17475.625,2813.75,28.4051,77.1097
sector 6,0.7018181818181818,7959.909090909091,642.9090909090909,28.4745,77.0262
sector 60,2.985,14408.857142857143,2115.0714285714284,28.400299999999998,77.0975
sector 61,2.0882926829268293,14622.390243902439,1499.7073170731708,28.405,77.0963
sector 62,5.45,17199.058823529413,2762.294117647059,28.4139,77.0886
sector 63,4.552666666666667,17020.6,2709.733333333333,28.3971,77.0867
sector 63a,2.6666666666666665,16034.944444444445,1637.111111111111,28.3923,77.0888
sector 65,3.2168539325842698,16006.483146067416,1967.7865168539327,28.403,77.069
sector 66,5.242564102564103,18610.333333333332,2611.5,28.3925,77.0541
sector 67,3.1300000000000003,13330.208333333334,2044.125,28.385900000000003,77.0608
sector 67a,1.4222727272727271,10097.636363636364,1368.1818181818182,28.396,77.0372
sector 68,1.2476666666666667,8914.466666666667,1332.4333333333334,28.385299999999997,77.0484
sector 69,1.5697849462365592,9159.720430107527,1554.3118279569892,28.3966,77.0341
sector 7,1.8145714285714285,11031.828571428572,1328.0,28.4644,77.0143
sector 70,1.679230769230769,8716.115384615385,1780.0,28.3968,77.0233
sector 71,1.02,7620.583333333333,1299.4166666666667,28.4104,77.0281
sector 72,4.163448275862069,12788.448275862069,3074.3793103448274,28.4225,77.02110000000002
sector 73,6.3,16116.333333333334,4033.0,28.4072,77.0118
sector 74,1.7722222222222224,11790.277777777777,1483.888888888889,28.4158,77.0118
sector 76,1.682,9250.466666666667,1791.4666666666667,28.3935,76.9888
sector 77,1.3113793103448277,7753.448275862069,1542.7931034482758,28.3801,76.9845
sector 78,1.16,6316.222222222223,1681.8333333333333,28.3733,76.9729
sector 79,1.3900000000000001,8453.430379746835,1527.506329113924,28.3624,76.9787
sector 8,0.89,8775.8,700.8,28.3738,76.897
sector 80,1.27,7498.2,1623.6,28.3659,76.9557
sector 81,1.9663636363636363,9292.193181818182,1876.4545454545455,28.386700000000005,76.9485
sector 82,2.079285714285714,9173.547619047618,1928.4285714285713,28.3935,76.96
sector 82a,2.3645,10286.1,2397.2,28.3858,76.9686
sector 83,1.2669117647058825,7647.882352941177,1528.3382352941176,28.3986,76.9647
sector 84,1.0617777777777777,6256.2444444444445,1524.2666666666667,28.3979,76.9736
sector 85,1.4907339449541286,7905.908256880734,1794.0275229357799,28.4042,76.95130000000002
sector 86,1.2274603174603174,7528.126984126984,1544.2222222222222,28.3986,76.9384
sector 88a,1.3677272727272727,9039.181818181818,1408.7727272727273,28.4347,76.9557
sector 88b,0.98,7441.0,1333.3333333333333,28.444599999999998,76.9542
sector 89,1.1307936507936507,8841.777777777777,1346.6349206349207,28.4253,76.9439
sector 9,1.7,10730.1,1411.9,28.4603,77.0
sector 90,1.1807692307692308,6394.428571428572,1699.5274725274726,28.4085,76.9369
sector 91,1.648235294117647,7586.294117647059,2013.235294117647,28.4014,76.9225
sector 92,0.9375,5885.211538461538,1581.1267307692308,28.4079,76.9153
sector 93,0.8081818181818182,8517.363636363636,946.4545454545455,28.4153,76.9326
sector 95,0.5215384615384615,5531.692307692308,1103.2115384615386,28.4172,76.9081
sector 99,1.695625,7163.0,1978.375,28.464,76.9614
sector 99a,0.8935714285714286,6317.857142857143,1278.9285714285713,28.4561,76.9542
