property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,ss the leaf,sector 85,1.07,6524.0,2,2,3,21.0,Relatively New,1439.0,0,0,0,1,0,0,67
flat,la vida by tata housing,sector 113,2.78,11346.0,3,3,3,3.0,New Property,2599.0,1,1,0,0,0,0,174
flat,whiteland  the aspen,sector 76,3.5,11917.0,3,4,3,8.0,Under Construction,2937.0,0,0,0,0,0,0,0
flat,sanskriti apartments,sector 43,2.5,13513.0,3,2,3,5.0,Old Property,1623.0,1,0,0,0,0,0,0
flat,tulip violet,sector 69,1.42,8998.0,3,3,2,8.0,Relatively New,1384.0,0,0,0,1,0,2,94
flat,signature global park,sohna road,0.72,5991.0,2,2,3,3.0,Relatively New,1061.0,0,0,0,1,0,0,158
flat,tulip violet,sector 69,1.7,8445.0,4,4,2,7.0,Relatively New,1763.0,0,0,0,0,0,0,128
flat,signature global city,sector 37d,1.25,6082.0,3,3,3,4.0,Under Construction,2335.0,0,0,0,0,0,0,16
flat,mapsko paradise,sector 83,0.75,5597.0,3,3,3,10.0,New Property,1156.0,0,0,0,0,1,2,49
flat,birla navya,sector 63a,3.7,15416.0,3,3,3+,1.0,Under Construction,2727.0,0,0,0,0,0,0,72
flat,ashiana anmol,sohna road,0.93,7294.0,2,2,2,9.0,Under Construction,1000.0,0,0,0,0,1,0,31
house,independent,sector 25,13.5,37313.0,5,6,3+,4.0,Old Property,3618.0,0,0,0,0,1,2,79
flat,corona optus,sector 37c,1.22,6912.0,3,4,3,5.0,Relatively New,1665.0,0,0,0,0,0,0,149
flat,godrej oasis,sector 88a,1.15,7116.0,2,2,3,14.0,Relatively New,1372.0,1,0,0,1,0,0,174
flat,dlf new town heights,sector 91,1.75,7402.0,4,4,3+,9.0,Relatively New,2074.0,0,1,0,1,0,0,88
flat,raheja vedaanta,sector 108,0.7,4651.0,2,2,2,12.0,Moderately Old,1320.0,0,0,0,0,0,0,72
flat,ashiana anmol,sohna road,0.88,11125.0,2,2,2,13.0,Relatively New,1009.0,0,0,0,0,0,1,127
flat,rof ananda,sector 95,0.38,5899.0,3,2,1,2.0,Relatively New,732.0,0,0,0,1,0,2,66
flat,smart world gems,sector 89,0.95,8903.0,2,2,2,1.0,Under Construction,796.0,1,0,0,0,0,0,122
flat,dlf regal gardens,sector 90,1.2,6837.0,3,3,3+,15.0,Relatively New,1565.0,0,0,0,0,0,0,118
house,independent,sector 12,1.0,8230.0,9,7,3+,3.0,Moderately Old,3750.0,0,0,1,1,0,0,7
house,independent,sector 15,1.8,10000.0,4,3,1,1.0,Old Property,1800.0,0,0,0,0,0,0,16
house,bestech park view aindependentda,sector 81,4.35,7937.0,4,4,3,2.0,Relatively New,5480.0,0,1,1,0,0,0,51
flat,capital residences 360,sector 70a,1.15,11500.0,2,2,3,4.0,New Property,1400.0,0,0,0,1,0,0,132
flat,sobha city,sector 108,3.25,15685.0,3,3,3,12.0,Relatively New,2072.0,0,0,0,0,0,0,99
flat,my home,sector 110,0.28,3166.0,2,1,1,2.0,Relatively New,1023.0,0,0,0,0,1,0,15
